As of 3/26,without further sub-cat 7&9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POMHQIIS,IMCOM-Training,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility group,count facility group,count facility group with SF,total SF with SF,Max SF with SF,Min SF with SF,Median SF with SF,Avg SF with SF,avg (total SF/count with SF),,,,,,POM,Benning,,,,,,,,,,,,,
2,3232,3232,11574574,29688,547,3393,3581.241955,3581.241955,0.463502079,0.544474394,,,,,,,,,,,,,,,,,,
3,19,19,481511,118389,3090,3700,25342.68421,25342.68421,0.002724796,0.003200809,,,,,,,,,,,,,,,,,,
4,139,139,6458391,207967,4308,41216,46463.2446,46463.2446,0.019934031,0.023416442,,,,,,,,,,,,,,,,,,
5,230,230,2404160.5,132346,1,4000,10452.87174,10452.87174,0.032984368,0.038746631,,,,,,,,,,,,,,,,,,
6,31,31,463348,29247,1536,15811,14946.70968,14946.70968,0.004445719,0.005222372,,,,,,,,,,,,,,,,,,
7,97,97,868652,136974,128,3178,8955.175258,8955.175258,0.013910799,0.01634097,,,,,,,,,,,,,,,,,,
8,28,28,2538938,1972682,1021,13882,90676.35714,90676.35714,0.004015488,0.004716981,,,,,,,,,,,,,,,,,,
9,303,302,3228704.07,277187,1,4000,10691.07308,10691.07308,0.04345332,0.050876011,,,,,,,,,,,,,,,,,,
10,322,322,2149512.17,160889,1,2618,6675.503634,6675.503634,0.046178116,0.054245283,,,,,,,,,,,,,,,,,,
11,424,424,2396266.63,90140,0,3241,5651.572241,5651.572241,0.060805966,0.071428571,,,,,,,,,,,,,,,,,,
12,865,724,9069801.58,646766,1,5953,12527.35025,12527.35025,0.124049907,0.121967655,,,,,,,,,,,,,,,,,,
18,335,65,46986,3018,100,528,722.8615385,722.8615385,0.048042449,0.010950135,,,,,,,,,,,,,,,,,,
19,12,12,1255419,199948,71486,95403.5,104618.25,104618.25,0.001720924,0.002021563,,,,,,,,,,,,,,,,,,
20,202,21,4072093.6,871200,500,50000,193909.219,193909.219,0.02896888,0.003537736,,,,,,,,,,,,,,,,,,
21,444,0,0,0,0,#NUM!,#DIV/0!,#DIV/0!,0.063674172,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IrwinHQIIS,IMCOM-Readiness,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility group,count facility group,count facility group with SF,total SF with SF,Max SF with SF,Min SF with SF,Median SF with SF,Avg SF with SF,avg (total SF/count with SF),,,,,,,,,,,,,,,,,,,,
1,91,91,841030,80763,72,6000,9242.087912,9242.087912,0.041139241,0.051792829,,,,,,,,,,,,,,,,,,
2,827,827,3463784,10292,1696,3620,4188.37243,4188.37243,0.373869801,0.470688674,,,,,,,,,,,,,,,,,,
3,8,8,110376,96739,1608,2054.5,13797,13797,0.003616637,0.004553216,,,,,,,,,,,,,,,,,,
4,75,75,785171,42779,2502,3021,10468.94667,10468.94667,0.033905967,0.042686397,,,,,,,,,,,,,,,,,,
5,99,99,626755,80000,41,2546,6330.858586,6330.858586,0.044755877,0.056346044,,,,,,,,,,,,,,,,,,
6,9,9,54626,18633,1108,3500,6069.555556,6069.555556,0.004068716,0.005122368,,,,,,,,,,,,,,,,,,
7,39,39,93610.7,26800,64,425,2400.274359,2400.274359,0.017631103,0.022196927,,,,,,,,,,,,,,,,,,
8,8,8,299887,217744,1240,12404,37485.875,37485.875,0.003616637,0.004553216,,,,,,,,,,,,,,,,,,
9,93,93,381793.7,69100,64,2121,4105.308602,4105.308602,0.0420434,0.052931133,,,,,,,,,,,,,,,,,,
10,63,63,144184,23405,144,1080,2288.634921,2288.634921,0.028481013,0.035856574,,,,,,,,,,,,,,,,,,
11,89,89,417679,39995,64,1408,4693.022472,4693.022472,0.040235081,0.050654525,,,,,,,,,,,,,,,,,,
12,407,339,907529,35158,35,466.6,2677.076696,2677.076696,0.183996383,0.192942516,,,,,,,,,,,,,,,,,,
18,136,4,6858,2882,776,1600,1714.5,1714.5,0.061482821,0.002276608,,,,,,,,,,,,,,,,,,
19,0,0,0,0,0,#NUM!,#DIV/0!,#DIV/0!,0,0,,,,,,,,,,,,,,,,,,
20,52,13,225122,219672,0,1,17317.07692,17317.07692,0.023508137,0.007398976,,,,,,,,,,,,,,,,,,
21,216,0,0,0,0,#NUM!,#DIV/0!,#DIV/0!,0.097649186,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PolkHQIIS,IMCOM-Readiness,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility group,count facility group,count facility group with SF,total SF with SF,Max SF with SF,Min SF with SF,Median SF with SF,Avg SF with SF,avg (total SF/count with SF),,,,,,,,,,,,,,,,,,,,
1,109,109,1102967.5,157265,180,4000,10118.96789,10118.96789,0.033631595,0.043288324,,,,,,,,,,,,,,,,,,
2,1319,1319,8013773,16552,1919,5480,6075.642911,6075.642911,0.406973156,0.523828435,,,,,,,,,,,,,,,,,,
3,10,10,86683,39020,0,3782,8668.3,8668.3,0.003085467,0.003971406,,,,,,,,,,,,,,,,,,
4,54,54,1481878,104266,3240,29564,27442.18519,27442.18519,0.016661524,0.021445592,,,,,,,,,,,,,,,,,,
5,196,196,1075475,125907,0,338,5487.117347,5487.117347,0.060475162,0.077839555,,,,,,,,,,,,,,,,,,
6,12,12,90245,18090,2056,6212.5,7520.416667,7520.416667,0.003702561,0.004765687,,,,,,,,,,,,,,,,,,
7,36,36,246348.8,78998,96,2680,6843.022222,6843.022222,0.011107683,0.014297061,,,,,,,,,,,,,,,,,,
8,14,14,473329,367793,1464,4469.5,33809.21429,33809.21429,0.004319654,0.005559968,,,,,,,,,,,,,,,,,,
9,121,119,838291.87,78998,24,4063,7044.469496,7044.469496,0.037334156,0.04725973,,,,,,,,,,,,,,,,,,
10,174,174,417879.54,36257,0,880,2401.606552,2401.606552,0.053687134,0.069102462,,,,,,,,,,,,,,,,,,
11,175,175,708199,138104,96,619,4046.851429,4046.851429,0.05399568,0.069499603,,,,,,,,,,,,,,,,,,
12,268,201,1363584.5,54606,24,2040,6784.002488,6784.002488,0.082690528,0.079825258,,,,,,,,,,,,,,,,,,
18,185,57,29435,2340,50,192,516.4035088,516.4035088,0.057081148,0.022637014,,,,,,,,,,,,,,,,,,
19,3,3,244025,95290,71252,77483,81341.66667,81341.66667,0.00092564,0.001191422,,,,,,,,,,,,,,,,,,
20,157,39,499371.9,157979.9,667,3516,12804.40769,12804.40769,0.048441839,0.015488483,,,,,,,,,,,,,,,,,,
21,408,0,0,0,0,#NUM!,#DIV/0!,#DIV/0!,0.125887072,0,,,,,,,,,,,,,,,,,,
